     X         dX           Y        dY
    0.9162    0.02653    -2.0776    0.00222 
    0.7528    0.03865    -2.7132    0.00960 
    1.0296    0.02043    -2.1069    0.00238 
    1.0986    0.01743    -2.2707    0.00346 
    0.9874    0.02252    -2.6664    0.00862 
    0.7917    0.03533    -2.4288    0.00499 
    1.0425    0.01984    -2.2948    0.00366 
    1.0108    0.02133    -2.0858    0.00226 
    0.9808    0.02286    -2.4536    0.00528 
    0.8672    0.02970    -2.8632    0.01356 
    0.8239    0.03281    -3.7943    0.11569 
    0.7229    0.04140    -3.2525    0.03322 
    0.6172    0.05281    -3.6344    0.08005 
    0.7407    0.03974    -2.9146    0.01526 
    0.7130    0.04236    -3.0279    0.01981 
   -1.1421    3.03434    -3.3692    0.04346 
    0.4446    0.07858    -3.6903    0.09105 
    0.3246    0.10359    -2.3390    0.00405 
    0.4068    0.08574    -3.2628    0.03402 
    0.6593    0.04793    -2.5712    0.00692 
    0.7861    0.03580    -2.5897    0.00722 
    0.8059    0.03420    -3.1981    0.02931 
    0.4552    0.07669    -3.0489    0.02079 
    0.7787    0.03641    -2.7367    0.01013 
    1.2523    0.01224    -2.0241    0.00196 
    1.2099    0.01349    -2.2827    0.00356 
    1.1408    0.01582    -2.3513    0.00417 
    1.3813    0.00909    -2.2868    0.00360 
    1.2966    0.01105    -2.3994    0.00466 
    1.3166    0.01055    -2.3070    0.00377 
    1.1600    0.01513    -2.2850    0.00358 
    0.9483    0.02464    -2.4475    0.00521 
    0.7189    0.04179    -3.0341    0.02009 
    0.4956    0.06987    -3.7536    0.10533 
    0.1927    0.14035    -3.2170    0.03061 
    0.5566    0.06071    -3.2986    0.03694 
   -0.4055    0.55643    -3.7030    0.09373 
    0.3212    0.10440    -3.7738    0.11034 
    0.3246    0.10358    -3.0225    0.01956 
    0.0219    0.20796    -2.9459    0.01640 
    0.1119    0.16905    -2.7965    0.01163 
    0.0423    0.19845    -2.8703    0.01378 
    0.5148    0.06685    -2.7744    0.01105 
    0.8074    0.03408    -3.1273    0.02490 
   -1.2587    3.96850    -3.5798    0.07059 
    0.8402    0.03160    -3.0815    0.02241 
    1.2407    0.01257    -2.1917    0.00289 
    1.2066    0.01359    -2.7036    0.00939 
    1.3401    0.01000    -2.0808    0.00224 
    1.3354    0.01010    -2.4188    0.00487 
    1.4397    0.00795    -2.1624    0.00270 
    1.3030    0.01089    -2.2721    0.00348 
    1.1584    0.01519    -2.5509    0.00660 
    1.3967    0.00877    -1.8513    0.00132 
    0.8449    0.03126    -2.5741    0.00697 
    0.5562    0.06077    -2.9585    0.01688 
    0.7921    0.03531    -2.9318    0.01587 
    0.5701    0.05885    -3.2685    0.03447 
    0.1280    0.16289    -2.8705    0.01379 
    0.3219    0.10425    -2.8621    0.01352 
    0.1156    0.16761    -3.8370    0.12762 
    0.0290    0.20463    -3.0841    0.02254 
    0.4443    0.07863    -2.1804    0.00281 
    0.3149    0.10593    -3.1778    0.02797 
    0.6041    0.05443    -2.6713    0.00871 
    0.8947    0.02788    -2.5287    0.00628 
    0.7130    0.04236    -2.7221    0.00980 
    0.7493    0.03896    -2.8657    0.01363 
    1.3800    0.00912    -2.0560    0.00211 
    1.2942    0.01111    -2.5583    0.00672 
    1.2738    0.01164    -2.2924    0.00364 
    1.3966    0.00878    -2.1756    0.00278 
    1.5231    0.00656    -1.9296    0.00158 
    1.3571    0.00961    -2.4375    0.00509 
    1.2502    0.01229    -2.1615    0.00269 
    1.4255    0.00821    -2.2014    0.00295 
    1.1481    0.01555    -2.3769    0.00442 
    0.7744    0.03677    -2.7908    0.01148 
    0.6515    0.04880    -3.1104    0.02395 
    0.5360    0.06367    -3.4558    0.05306 
    0.5372    0.06350    -2.6101    0.00757 
    0.0895    0.17800    -3.3127    0.03816 
   -0.3243    0.46160    -3.6690    0.08668 
    0.3386    0.10030    -2.9923    0.01825 
    0.4214    0.08290    -3.4478    0.05209 
    0.4927    0.07035    -3.7353    0.10097 
    0.9406    0.02508    -2.4703    0.00549 
    0.8996    0.02756    -2.3851    0.00451 
    0.9792    0.02295    -2.3834    0.00449 
    1.0038    0.02168    -2.4807    0.00562 
    1.2704    0.01174    -2.5124    0.00604 
    1.2155    0.01332    -2.4764    0.00556 
    1.2624    0.01196    -2.3565    0.00422 
    1.3466    0.00985    -2.4152    0.00483 
    1.1905    0.01411    -2.2323    0.00317 
    1.0265    0.02058    -2.3234    0.00391 
    1.1594    0.01516    -2.1675    0.00273 
    0.9075    0.02707    -2.7982    0.01167 
    0.8190    0.03318    -2.7603    0.01070 
    0.4250    0.08221    -3.4216    0.04903 
   -0.0609    0.25165    -4.1771    0.27926 
   -0.1462    0.30625    -3.2556    0.03346 
    0.0261    0.20596    -3.6901    0.09099 
   -0.5203    0.72486    -4.2977    0.36869 
    0.1992    0.13826    -4.1183    0.24392 
    0.0408    0.19910    -4.0597    0.21314 
    0.2923    0.11159    -3.9300    0.15810 
    0.0984    0.17438    -3.5145    0.06073 
    0.3904    0.08903    -3.4418    0.05137 
    0.6515    0.04880    -2.6891    0.00908 
    0.7396    0.03984    -3.2047    0.02976 
    0.6936    0.04429    -2.7027    0.00937 
    1.1164    0.01673    -2.5004    0.00588 
    1.2909    0.01120    -1.7893    0.00114 
    1.4083    0.00854    -1.4912    0.00058 
    1.2617    0.01197    -2.4501    0.00524 
    1.2957    0.01107    -2.3807    0.00446 
    1.2960    0.01106    -1.9750    0.00175 
    1.0559    0.01923    -2.6211    0.00776 
    1.4392    0.00796    -2.1055    0.00237 
    0.9775    0.02304    -2.5127    0.00605 
    0.8346    0.03201    -2.7924    0.01152 
    0.2871    0.11293    -3.0252    0.01969 
    0.3049    0.10841    -3.4985    0.05854 
    0.3686    0.09360    -3.3651    0.04306 
    0.1556    0.15288    -4.3406    0.40694 
   -0.7824    1.32547    -4.9625    1.70391 
   -0.2517    0.39053    -3.2088    0.03004 
    0.9726    0.02330    -2.1820    0.00282 
    1.1689    0.01483    -2.3831    0.00449 
    0.8889    0.02825    -2.9125    0.01519 
    0.7956    0.03502    -2.7830    0.01127 
    0.8196    0.03314    -2.3925    0.00459 
    1.1656    0.01494    -2.1602    0.00269 
    1.2461    0.01241    -1.7772    0.00111 
    1.1513    0.01544    -2.2009    0.00295 
    1.0633    0.01890    -2.3986    0.00465 
    1.2826    0.01141    -1.8860    0.00143 
    1.1578    0.01521    -2.0018    0.00187 
    0.7935    0.03519    -2.6261    0.00785 
    0.7495    0.03895    -2.4123    0.00480 
    0.5580    0.06052    -3.3016    0.03720 
    0.9021    0.02740    -2.1080    0.00238 
    0.8956    0.02782    -2.7747    0.01106 
   -0.3221    0.45922    -3.6864    0.09023 
   -0.7953    1.36529    -3.4919    0.05765 
    0.4545    0.07681    -4.1970    0.29234 
   -0.5626    0.79891    -3.9501    0.16559 
   -0.4565    0.62581    -3.3076    0.03772 
    0.2380    0.12645    -3.6478    0.08256 
    0.0692    0.18651    -3.2705    0.03463 
    0.4292    0.08142    -2.8014    0.01176 
    0.6868    0.04499    -2.6884    0.00906 
    0.8585    0.03030    -2.6596    0.00848 
    1.1370    0.01596    -2.3091    0.00378 
    1.0621    0.01896    -2.3951    0.00461 
    1.1370    0.01596    -2.3428    0.00409 
    1.1910    0.01409    -2.2679    0.00344 
    1.3309    0.01021    -1.8489    0.00131 
    1.2598    0.01203    -1.9890    0.00181 
    1.3263    0.01032    -1.9132    0.00152 
    0.4364    0.08008    -3.0369    0.02022 
   -0.3574    0.49811    -3.2379    0.03213 
    0.4209    0.08299    -2.7294    0.00996 
    0.4794    0.07254    -3.1055    0.02368 
